Full sealed-sector lists (best variant = A and B, identical).
  (18,19) type=7 pillar           Item=   6 addl=0
  (23,19) type=1 normal           Item= 232 addl=0
  (25,19) type=1 normal           Item=  -1 addl=0
  (27,19) type=1 normal           Item=  -1 addl=0
  (29,19) type=1 normal           Item=  -1 addl=0
  ( 1,20) type=1 normal           Item= 233 addl=0
  ( 2,20) type=1 normal           Item=  -1 addl=0
  ( 3,20) type=1 normal           Item= 234 addl=0
  ( 4,20) type=1 normal           Item=  -1 addl=0
  ( 5,20) type=1 normal           Item=  -1 addl=0
  ( 6,20) type=1 normal           Item=  -1 addl=0
  (17,20) type=2 door             Item=  -1 addl=0
  (23,20) type=1 normal           Item=  -1 addl=0
  (24,20) type=1 normal           Item=  -1 addl=0
  (25,20) type=1 normal           Item=  -1 addl=0
  (26,20) type=1 normal           Item= 236 addl=0
  (27,20) type=1 normal           Item= 237 addl=0
  (28,20) type=1 normal           Item= 238 addl=0
  (29,20) type=1 normal           Item= 239 addl=0
  ( 2,21) type=1 normal           Item= 240 addl=0
  ( 4,21) type=1 normal           Item= 241 addl=0
  ( 8,21) type=1 normal           Item=  -1 addl=0
  ( 9,21) type=1 normal           Item= 243 addl=0
  (10,21) type=1 normal           Item= 244 addl=0
  (11,21) type=1 normal           Item=  -1 addl=0
  (12,21) type=1 normal           Item=  -1 addl=0
  (16,21) type=7 pillar           Item= 152 addl=0
  (17,21) type=4 door_trigger     Item= 149 addl=129
  (18,21) type=7 pillar           Item= 163 addl=0
  (26,21) type=1 normal           Item=  -1 addl=0
  (28,21) type=1 normal           Item=  -1 addl=0
  ( 2,22) type=1 normal           Item= 262 addl=0
  ( 3,22) type=4 door_trigger     Item= 252 addl=129
  ( 4,22) type=1 normal           Item= 261 addl=0
  ( 5,22) type=1 normal           Item= 254 addl=0
  ( 8,22) type=1 normal           Item=  -1 addl=0
  (10,22) type=1 normal           Item=  -1 addl=0
  (12,22) type=1 normal           Item=  -1 addl=0
  (17,22) type=1 normal           Item=  -1 addl=0
  (24,22) type=1 normal           Item= 258 addl=0
  (26,22) type=1 normal           Item= 259 addl=0
  (27,22) type=4 door_trigger     Item=  -1 addl=129
  (28,22) type=1 normal           Item=  -1 addl=0
  (29,22) type=1 normal           Item= 260 addl=0
  ( 3,23) type=2 door             Item=  -1 addl=2
  ( 7,23) type=1 normal           Item= 263 addl=0
  ( 8,23) type=1 normal           Item=  -1 addl=0
  ( 9,23) type=1 normal           Item= 264 addl=0
  (10,23) type=1 normal           Item=  -1 addl=0
  (11,23) type=1 normal           Item= 265 addl=0
  (12,23) type=1 normal           Item=  -1 addl=0
  (13,23) type=1 normal           Item=  -1 addl=0
  (21,23) type=1 normal           Item=  27 addl=0
  (22,23) type=1 normal           Item=  -1 addl=0
  (24,23) type=1 normal           Item= 266 addl=0
  (27,23) type=2 door             Item=  -1 addl=3
  ( 2,24) type=1 normal           Item= 267 addl=0
  ( 3,24) type=4 door_trigger     Item= 268 addl=129
  ( 4,24) type=1 normal           Item= 269 addl=0
  ( 5,24) type=1 normal           Item=  -1 addl=0
  ( 7,24) type=1 normal           Item=  -1 addl=0
  ( 9,24) type=1 normal           Item= 270 addl=0
  (10,24) type=1 normal           Item=  -1 addl=0
  (11,24) type=1 normal           Item= 271 addl=0
  (13,24) type=1 normal           Item=  -1 addl=0
  (16,24) type=1 normal           Item= 272 addl=0
  (18,24) type=7 pillar           Item=  43 addl=0
  (20,24) type=1 normal           Item=  28 addl=0
  (21,24) type=1 normal           Item= 275 addl=0
  (22,24) type=1 normal           Item= 276 addl=0
  (24,24) type=1 normal           Item= 277 addl=0
  (25,24) type=1 normal           Item=  -1 addl=0
  (26,24) type=1 normal           Item= 278 addl=0
  (27,24) type=1 normal           Item= 279 addl=0
  (28,24) type=1 normal           Item=  -1 addl=0
  (29,24) type=1 normal           Item=  -1 addl=0
  (30,24) type=1 normal           Item= 280 addl=0
  ( 2,25) type=1 normal           Item= 256 addl=0
  ( 4,25) type=1 normal           Item= 281 addl=0
  ( 7,25) type=1 normal           Item= 282 addl=0
  ( 8,25) type=1 normal           Item= 283 addl=0
  ( 9,25) type=1 normal           Item= 284 addl=0
  (10,25) type=1 normal           Item= 285 addl=0
  (11,25) type=1 normal           Item=  -1 addl=0
  (12,25) type=1 normal           Item= 286 addl=0
  (13,25) type=1 normal           Item=  -1 addl=0
  (20,25) type=1 normal           Item= 289 addl=0
  (21,25) type=1 normal           Item=  32 addl=0
  (22,25) type=6 corpse           Item= 368 addl=12
  (23,25) type=2 door             Item=  -1 addl=1
  (24,25) type=4 door_trigger     Item= 291 addl=132
  (26,25) type=1 normal           Item=  -1 addl=0
  (28,25) type=1 normal           Item= 292 addl=0
  (30,25) type=1 normal           Item= 293 addl=0
  ( 1,26) type=1 normal           Item= 294 addl=0
  ( 2,26) type=1 normal           Item= 295 addl=0
  ( 3,26) type=1 normal           Item= 296 addl=0
  ( 4,26) type=1 normal           Item=  -1 addl=0
  ( 5,26) type=1 normal           Item=  -1 addl=0
  ( 6,26) type=1 normal           Item=  -1 addl=0
  ( 7,26) type=1 normal           Item=  -1 addl=0
  ( 9,26) type=1 normal           Item= 297 addl=0
  (11,26) type=1 normal           Item= 298 addl=0
  (13,26) type=1 normal           Item=  -1 addl=0
  (20,26) type=1 normal           Item=  24 addl=0
  (21,26) type=1 normal           Item=  84 addl=0
  (22,26) type=1 normal           Item=  30 addl=0
  (24,26) type=1 normal           Item=  -1 addl=0
  (25,26) type=1 normal           Item= 302 addl=0
  (26,26) type=1 normal           Item= 303 addl=0
  (27,26) type=1 normal           Item=  -1 addl=0
  (28,26) type=1 normal           Item=  -1 addl=0
  (29,26) type=1 normal           Item=  -1 addl=0
  (30,26) type=1 normal           Item=  -1 addl=0
  ( 1,27) type=1 normal           Item= 305 addl=0
  ( 3,27) type=1 normal           Item= 288 addl=0
  ( 5,27) type=1 normal           Item= 306 addl=0
  ( 7,27) type=1 normal           Item= 307 addl=0
  ( 8,27) type=1 normal           Item= 308 addl=0
  ( 9,27) type=1 normal           Item=  -1 addl=0
  (10,27) type=1 normal           Item= 309 addl=0
  (11,27) type=1 normal           Item=  -1 addl=0
  (12,27) type=1 normal           Item=  -1 addl=0
  (13,27) type=1 normal           Item= 310 addl=0
  (14,27) type=1 normal           Item=  -1 addl=0
  (20,27) type=1 normal           Item=  22 addl=0
  (21,27) type=1 normal           Item=  29 addl=0
  (24,27) type=1 normal           Item=  -1 addl=0
  (25,27) type=1 normal           Item= 314 addl=0
  (27,27) type=1 normal           Item= 315 addl=0
  (28,27) type=1 normal           Item=  -1 addl=0
  (29,27) type=1 normal           Item=  -1 addl=0
  ( 1,28) type=1 normal           Item= 171 addl=0
  ( 2,28) type=1 normal           Item= 316 addl=0
  ( 3,28) type=1 normal           Item= 317 addl=0
  ( 4,28) type=1 normal           Item= 318 addl=0
  ( 5,28) type=1 normal           Item=  -1 addl=0
  ( 6,28) type=1 normal           Item= 319 addl=0
  ( 7,28) type=1 normal           Item=  -1 addl=0
  (10,28) type=1 normal           Item=  -1 addl=0
  (12,28) type=1 normal           Item=  -1 addl=0
  (14,28) type=4 door_trigger     Item= 321 addl=129
  (15,28) type=2 door             Item=  -1 addl=5
  (25,28) type=1 normal           Item=  -1 addl=0
  (26,28) type=1 normal           Item=  -1 addl=0
  (27,28) type=1 normal           Item=  -1 addl=0
  (28,28) type=1 normal           Item= 326 addl=0
  (29,28) type=1 normal           Item=  -1 addl=0
  (30,28) type=1 normal           Item= 355 addl=0
  ( 2,29) type=1 normal           Item= 327 addl=0
  ( 4,29) type=1 normal           Item=  -1 addl=0
  ( 6,29) type=1 normal           Item=  -1 addl=0
  (10,29) type=1 normal           Item= 329 addl=0
  (11,29) type=1 normal           Item= 330 addl=0
  (12,29) type=1 normal           Item=  -1 addl=0
  (13,29) type=1 normal           Item=  -1 addl=0
  (14,29) type=1 normal           Item=  -1 addl=0
  (16,29) type=7 pillar           Item= 111 addl=0
  (18,29) type=7 pillar           Item= 110 addl=0
  (22,29) type=1 normal           Item= 360 addl=0
  (23,29) type=1 normal           Item=  -1 addl=0
  (24,29) type=1 normal           Item= 335 addl=0
  (25,29) type=1 normal           Item= 336 addl=0
  (27,29) type=1 normal           Item= 357 addl=0
  (29,29) type=1 normal           Item= 356 addl=0
  ( 3,30) type=1 normal           Item= 339 addl=0
  ( 4,30) type=1 normal           Item= 340 addl=0
  ( 5,30) type=1 normal           Item= 341 addl=0
  ( 6,30) type=1 normal           Item=  -1 addl=0
  (23,30) type=1 normal           Item= 359 addl=0
  (25,30) type=1 normal           Item= 358 addl=0

=== L13 The Labyrinth  sealed=521 ===
  ( 2, 1) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 3, 1) type=1 normal           Item=   5 addl=0 adjSwitchable
  ( 4, 1) type=1 normal           Item=   6 addl=0 adjSwitchable
  ( 5, 1) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 6, 1) type=1 normal           Item=   7 addl=0 adjSwitchable
  ( 7, 1) type=1 normal           Item=   8 addl=0 adjSwitchable
  ( 8, 1) type=1 normal           Item=   9 addl=0 adjSwitchable
  ( 9, 1) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (10, 1) type=1 normal           Item=  10 addl=0 adjSwitchable
  (11, 1) type=1 normal           Item=  11 addl=0 adjSwitchable
  (12, 1) type=1 normal           Item=  12 addl=0 adjSwitchable
  (13, 1) type=1 normal           Item=  13 addl=0 adjSwitchable
  (14, 1) type=1 normal           Item=  14 addl=0 adjSwitchable
  (15, 1) type=1 normal           Item=  15 addl=0 adjSwitchable
  (16, 1) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (17, 1) type=1 normal           Item=  16 addl=0 adjSwitchable
  (18, 1) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (19, 1) type=1 normal           Item=  17 addl=0 adjSwitchable
  (20, 1) type=1 normal           Item=  18 addl=0 adjSwitchable
  (22, 1) type=1 normal           Item=  19 addl=0 adjSwitchable
  (23, 1) type=1 normal           Item=  20 addl=0 adjSwitchable
  (24, 1) type=1 normal           Item=  21 addl=0 adjSwitchable
  (25, 1) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (26, 1) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (27, 1) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (28, 1) type=1 normal           Item=  22 addl=0 adjSwitchable
  (29, 1) type=1 normal           Item=  23 addl=0 adjSwitchable
  ( 1, 2) type=1 normal           Item=  24 addl=0 adjSwitchable
  (14, 2) type=1 normal           Item=  25 addl=0 adjSwitchable
  (17, 2) type=1 normal           Item=  26 addl=0 adjSwitchable
  (20, 2) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (22, 2) type=1 normal           Item=  27 addl=0 adjSwitchable
  (28, 2) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (30, 2) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 1, 3) type=1 normal           Item=  28 addl=0 adjSwitchable
  ( 3, 3) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 4, 3) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 5, 3) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 6, 3) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 7, 3) type=1 normal           Item=  29 addl=0 adjSwitchable
  ( 8, 3) type=1 normal           Item=  30 addl=0 adjSwitchable
  ( 9, 3) type=1 normal           Item=  31 addl=0 adjSwitchable
  (10, 3) type=1 normal           Item=  32 addl=0 adjSwitchable
  (11, 3) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (12, 3) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (14, 3) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (16, 3) type=1 normal           Item=  33 addl=0 adjSwitchable
  (17, 3) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (19, 3) type=1 normal           Item=  34 addl=0 adjSwitchable
  (20, 3) type=1 normal           Item=  35 addl=0 adjSwitchable
  (22, 3) type=1 normal           Item=  36 addl=0 adjSwitchable
  (24, 3) type=1 normal           Item=  37 addl=0 adjSwitchable
  (25, 3) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (26, 3) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (27, 3) type=1 normal           Item=  38 addl=0 adjSwitchable
  (28, 3) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (30, 3) type=1 normal           Item=  39 addl=0 adjSwitchable
  ( 1, 4) type=1 normal           Item=  40 addl=0 adjSwitchable
  ( 6, 4) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 8, 4) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (14, 4) type=1 normal           Item=  41 addl=0 adjSwitchable
  (16, 4) type=1 normal           Item=  42 addl=0 adjSwitchable
  (20, 4) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (22, 4) type=1 normal           Item=  43 addl=0 adjSwitchable
  (28, 4) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (30, 4) type=1 normal           Item=  44 addl=0 adjSwitchable
  ( 1, 5) type=1 normal           Item=  45 addl=0 adjSwitchable
  ( 3, 5) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 4, 5) type=1 normal           Item=  46 addl=0 adjSwitchable
  ( 5, 5) type=1 normal           Item=  47 addl=0 adjSwitchable
  ( 6, 5) type=1 normal           Item=  48 addl=0 adjSwitchable
  ( 8, 5) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (10, 5) type=1 normal           Item=  49 addl=0 adjSwitchable
  (11, 5) type=1 normal           Item=  50 addl=0 adjSwitchable
  (12, 5) type=1 normal           Item=  51 addl=0 adjSwitchable
  (14, 5) type=1 normal           Item=  52 addl=0 adjSwitchable
  (16, 5) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (17, 5) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (18, 5) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (19, 5) type=1 normal           Item=  53 addl=0 adjSwitchable
  (20, 5) type=1 normal           Item=  54 addl=0 adjSwitchable
  (22, 5) type=1 normal           Item=  55 addl=0 adjSwitchable
  (23, 5) type=1 normal           Item=  56 addl=0 adjSwitchable
  (24, 5) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (25, 5) type=1 normal           Item=  57 addl=0 adjSwitchable
  (26, 5) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (27, 5) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (28, 5) type=1 normal           Item=  58 addl=0 adjSwitchable
  (30, 5) type=1 normal           Item=  59 addl=0 adjSwitchable
  ( 1, 6) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 3, 6) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 5, 6) type=1 normal           Item=  60 addl=0 adjSwitchable
  ( 6, 6) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (10, 6) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (12, 6) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (14, 6) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (16, 6) type=1 normal           Item=  61 addl=0 adjSwitchable
  (28, 6) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (30, 6) type=1 normal           Item=  62 addl=0 adjSwitchable
  ( 1, 7) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 3, 7) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 5, 7) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 8, 7) type=1 normal           Item=  63 addl=0 adjSwitchable
  ( 9, 7) type=1 normal           Item=  64 addl=0 adjSwitchable
  (10, 7) type=1 normal           Item=  65 addl=0 adjSwitchable
  (12, 7) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (14, 7) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (16, 7) type=1 normal           Item=  66 addl=0 adjSwitchable
  (17, 7) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (18, 7) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (19, 7) type=1 normal           Item=  67 addl=0 adjSwitchable
  (20, 7) type=1 normal           Item=  68 addl=0 adjSwitchable
  (21, 7) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (23, 7) type=1 normal           Item=  69 addl=0 adjSwitchable
  (24, 7) type=1 normal           Item=  70 addl=0 adjSwitchable
  (25, 7) type=1 normal           Item=  71 addl=0 adjSwitchable
  (26, 7) type=1 normal           Item=  72 addl=0 adjSwitchable
  (27, 7) type=1 normal           Item=  73 addl=0 adjSwitchable
  (28, 7) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (30, 7) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 1, 8) type=1 normal           Item=  74 addl=0 adjSwitchable
  ( 3, 8) type=1 normal           Item=  75 addl=0 adjSwitchable
  ( 4, 8) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 5, 8) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 6, 8) type=1 normal           Item=  76 addl=0 adjSwitchable
  ( 7, 8) type=1 normal           Item=  77 addl=0 adjSwitchable
  ( 8, 8) type=1 normal           Item=  -1 addl=0 adjSwitchable
